	kommunenr	kommune	lat	lon	lat_lon
78	0520	Ringebu	61.5298	10.1418	61.5298,10.1418
79	0521	Øyer	61.26495	10.41297	61.26495,10.41297
80	0522	Gausdal	61.22685	10.22145	61.22685,10.22145
81	0528	Østre Toten	60.67675	10.81678	60.67675,10.81678
82	0529	Vestre Toten	60.725930000000005	10.60764	60.72593,10.60764
83	0532	Jevnaker	60.2406	10.385869999999999	60.2406,10.38587
84	0533	Lunner	60.294619999999995	10.6086	60.29462,10.6086
85	0534	Gran	60.39293000000001	10.56045	60.39293,10.56045
86	0536	Søndre Land	60.69944	10.35086	60.69944,10.35086
87	0538	Nordre Land	60.83471	10.07543	60.83471,10.07543
88	0540	Sør-Aurdal	60.822419999999994	9.54836	60.82242,9.54836
89	0541	Etnedal	60.88871999999999	9.640310000000001	60.88872,9.64031
90	0542	Nord-Aurdal	60.98531	9.23661	60.98531,9.23661
91	0543	Vestre Slidre	61.08841999999999	8.98196	61.08842,8.98196
92	0544	Øystre Slidre	61.13377	9.07872	61.13377,9.07872
93	0545	Vang	61.125640000000004	8.57167	61.12564,8.57167
95	0602	Drammen	59.74536	10.205969999999999	59.74536,10.20597
96	0604	Kongsberg	59.66516	9.64653	59.66516,9.64653
97	0605	Ringerike	60.160180000000004	10.2566	60.16018,10.2566
98	0612	Hole	60.080169999999995	10.2784	60.08017,10.2784
99	0615	Flå	60.4291	9.46611	60.4291,9.46611
100	0616	Nes	60.56804	9.10169	60.56804,9.10169
101	0617	Gol	60.69953	8.950239999999999	60.69953,8.95024
102	0618	Hemsedal	60.86114	8.56537	60.86114,8.56537
103	0619	Ål	60.630280000000006	8.56115	60.63028,8.56115
104	0620	Hol	60.615280000000006	8.30194	60.61528,8.30194
105	0621	Sigdal	60.045919999999995	9.63673	60.04592,9.63673
106	0622	Krødsherad	60.17944	9.62124	60.17944,9.62124
107	0623	Modum	59.973459999999996	10.00468	59.97346,10.00468
108	0624	Øvre Eiker	59.77111	9.9084	59.77111,9.9084
109	0625	Nedre Eiker	59.75023	10.00736	59.75023,10.00736
110	0626	Lier	59.78663	10.2459	59.78663,10.2459
111	0627	Røyken	59.740190000000005	10.413210000000001	59.74019,10.41321
112	0628	Hurum	59.61401	10.45763	59.61401,10.45763
113	0631	Flesberg	59.83283	9.58308	59.83283,9.58308
114	0632	Rollag	59.98413000000001	9.294889999999999	59.98413,9.29489
115	0633	Nore og Uvdal	60.26706	8.94635	60.26706,8.94635
117	0701	Horten	59.41546999999999	10.48527	59.41547,10.48527
118	0702	Holmestrand	59.48976	10.31515	59.48976,10.31515
119	0704	Tønsberg	59.27114	10.40939	59.27114,10.40939
120	0706	Sandefjord	59.128809999999994	10.219710000000001	59.12881,10.21971
121	0709	Larvik	59.05229	10.02709	59.05229,10.02709
122	0711	Svelvik	59.60677	10.40225	59.60677,10.40225
123	0713	Sande	59.593619999999994	10.20757	59.59362,10.20757
124	0714	Hof	59.52865	10.08942	59.52865,10.08942
125	0716	Re	59.350559999999994	10.247630000000001	59.35056,10.24763
126	0719	Andebu	59.305890000000005	10.17511	59.30589,10.17511
127	0720	Stokke	59.22191	10.30045	59.22191,10.30045
128	0722	Nøtterøy	59.224059999999994	10.40899	59.22406,10.40899
129	0723	Tjøme	59.11087	10.39326	59.11087,10.39326
130	0728	Lardal	59.40243	9.95918	59.40243,9.95918
132	0805	Porsgrunn	59.1419	9.6568	59.1419,9.6568
133	0806	Skien	59.207480000000004	9.61052	59.20748,9.61052
134	0807	Notodden	59.55992	9.26046	59.55992,9.26046
135	0811	Siljan	59.282509999999995	9.73368	59.28251,9.73368
136	0814	Bamble	59.001459999999994	9.74573	59.00146,9.74573
137	0815	Kragerø	58.86792	9.41099	58.86792,9.41099
